,names,fruit,realfake,masks
54,2021-11-04_019,pp,rr,True
55,2021-11-04_020,pp,rr,True
56,2021-11-04_021,pp,rr,True
57,2021-11-04_022,ppp,rrr,True
58,2021-11-04_023,ppp,rrr,True
59,2021-11-04_025,ppp,fff,True
60,2021-11-04_026,ppp,fff,True
61,2021-11-04_027,ppp,fff,True
62,2021-11-04_028,pp,ff,True
63,2021-11-04_030,pppp,frrf,True
64,2021-11-04_031,pppp,frff,True
65,2021-11-04_032,pppp,frfr,True
66,2021-11-04_033,pppp,frrr,True
67,2021-11-04_034,pppp,ffrr,True
68,2021-11-04_035,oo,rr,True
69,2021-11-04_036,oooo,rrrr,True
70,2021-11-04_037,ooo,rrr,True
71,2021-11-04_038,oooo,rrrr,True
72,2021-11-04_039,oooo,rrrr,True
73,2021-11-04_041,oooo,ffff,True
74,2021-11-04_044,oooo,ffff,True
75,2021-11-04_045,oooo,ffrf,True
76,2021-11-04_046,oooo,rffr,True
77,2021-11-04_048,oooo,frrr,True
78,2021-11-04_050,ooo,fff,True
79,2021-11-04_051,v,r,True
80,2021-11-04_052,vv,rr,True
81,2021-11-04_053,vv,rr,True
82,2021-11-04_054,vv,rr,True
83,2021-11-04_056,v,f,True
84,2021-11-04_057,vv,ff,True
85,2021-11-04_058,vvv,fff,True
86,2021-11-04_059,vvv,fff,True
87,2021-11-04_062,vvvv,frfr,True
88,2021-11-04_063,vvvv,rfrf,True
89,2021-11-04_064,vvvv,rfrf,True
90,2021-11-04_065,vvvv,rffr,True
91,2021-11-04_066,vvvv,frrf,True
92,2021-11-04_067,aaa,rrr,True
93,2021-11-04_068,aaaa,rrrr,True
94,2021-11-04_069,aaaa,rrrr,True
95,2021-11-04_070,aaaa,rrrr,True
96,2021-11-04_071,aaaa,rrrr,True
97,2021-11-04_072,aaaa,rrrr,True
98,2021-11-04_073,aaaa,rrrr,True
99,2021-11-04_074,aaaa,rrrr,True
100,2021-11-04_075,aaaa,rrrr,True
101,2021-11-04_076,aaaa,rrrr,True
102,2021-11-04_077,aaaa,rrrr,True
103,2021-11-04_079,aaaa,rrrr,True
104,2021-11-04_080,aaaa,rrrr,True
105,2021-11-04_081,aaaa,rrrr,True
106,2021-11-04_082,aaaa,ffff,True
107,2021-11-04_083,aaaa,ffff,True
108,2021-11-04_084,aaaa,ffff,True
109,2021-11-04_085,aaaa,ffff,True
110,2021-11-04_086,aaaa,ffff,True
111,2021-11-04_089,aaaa,ffff,True
112,2021-11-04_090,aaaa,ffff,True
113,2021-11-04_091,aaaa,ffff,True
114,2021-11-04_092,aaaa,frrf,True
115,2021-11-04_094,aaaa,rrff,True
116,2021-11-04_095,aaaa,frrf,True
117,2021-11-04_096,aaaa,frrf,True
118,2021-11-04_097,aaaa,ffrr,True
119,2021-11-04_102,aaaa,rrff,True
120,2021-11-04_103,plg/alo,rfr/frr,True
121,2021-11-04_105,oagp/log,rffr/rff,True
122,2021-11-04_106,olog/lgg,rrff/frf,True
123,2021-11-04_107,algg/eag,rffr/frf,True
124,2021-11-04_108,eeag/ael,rfrf/fff,True
125,2021-11-05_001,aoaa/lav,ffrf/rfr,True
126,2021-11-05_002,laov/gg,rffr/ff,True
127,2021-11-05_004,gap/gll,rrr/ffr,True
128,2021-11-05_005,ogll/alg,ffrf/rrr,True
129,2021-11-05_006,aolg/pgo,rfff/rff,True
130,2021-11-05_008,aagp/oala,frfr/rrff,True
131,2021-11-05_009,ogll/apaa,ffrf/rrff,True
132,2021-11-05_012,oalp/aalg,rrfr/rfrf,True
133,2021-11-05_013,aalg/aool,rfrf/ffrr,True
134,2021-11-05_014,aool/gol,ffrr/rrf,True
135,2021-11-05_015,gop/gll,rrf/fff,True
136,2021-11-05_016,gg/vlav,rf/rrff,True
137,2021-11-05_017,ege,rrf,True
138,2021-11-05_018,epv,rrr,True
139,2021-11-05_019,fobv,fffr,True
140,2021-11-05_020,gpue,frff,True
141,2021-11-05_021,vppaa,frrfr,True
142,2021-11-05_022,lvooo,rffff,True
143,2021-11-05_025,peeg,rrff,True
144,2021-11-05_027,vleeg,frffr,True
145,2021-11-05_028,bfuoo,ffrrf,True
146,2021-11-05_029,uoaga,rrffr,True
147,2021-11-05_032,eloaa,rrrrr,True
148,2021-11-05_033,elapp/oaal,rrrrr/rrrr,True
149,2021-11-05_034,elbpa,rrfrf,True
150,2021-11-05_042,lueae,rfffr,True
151,2021-11-05_043,gevf,rfrf,True
152,2021-11-05_047,eole,rfrf,True
153,2021-11-05_049,aupug,rfrff,True
154,2021-11-05_050,buage,ffffr,True
155,2021-11-05_051,plleuu,ffrfrr,True
156,2021-11-05_052,lpeeg,rrffr,True
157,2021-11-05_053,opbga,rrfrr,True
158,2021-11-05_055,guupa,fffrf,True
159,2021-11-05_056,ppva/buuu,rfff/ffrf,True
160,2021-11-05_057,pgue/buuo,rrfr/ffrr,True
161,2021-11-05_058,ageol/uuuuu,rffff/frrff,True
162,2021-11-05_059,vlpul/lula,fffff/rfrr,True
163,2021-11-05_060,eeaul/fuugl,fffff/fffrr,True
164,2021-11-10_001,tttt/nnnn,frfr/frrf,True
165,2021-11-10_002,pppp/nntt,rffr/frrf,True
166,2021-11-10_003,ttpp/bbb,rffr/rfr,True
167,2021-11-10_005,tpnb/bpp,rfrf/frr,True
168,2021-11-10_006,tptp/nb,rfff/rr,True
169,2021-11-10_007,bbp/nn,frr/fr,True
170,2021-11-10_008,ttnp/tnn,rrrr/ffr,True
171,2021-11-10_009,pppp/ppb,rfrr/rfr,True
172,2021-11-10_011,bpnp/ptb,ffrr/rrr,True
173,2021-11-10_012,ppb/ttb,ffr/frr,True
174,2021-11-10_013,ppnn/tbb,rfrf/rfr,True
175,2021-11-10_016,tpnn/bpt,rrrr/rrf,True
176,2021-11-10_017,ppnn/ttnt,frfr/rrff,True
177,2021-11-10_018,bb/bnt,rf/frf,True
178,2021-11-10_019,pppp/pptt,rrff/rrrr,True
179,2021-11-10_020,pptt/nnn,rffr/rff,True
180,2021-11-10_021,nnnn/bb,rfrr/rf,True
181,2021-11-10_022,tttnn/ntt,rrffr/rfr,True
182,2021-11-10_023,ttppp/btt,rfrfr/rfr,True
183,2021-11-10_025,btttt/bbb,ffrrf/rrf,True
184,2021-11-10_026,pttnn/bb,rrfrf/rf,True
185,2021-11-10_027,ptpp/bnn,rrrr/rrr,True
186,2021-11-10_028,bnnp/tbb,ffff/fff,True
187,2021-11-10_030,nbnb/ttn,rfrf/rff,True
188,2021-11-10_032,bbbb/tptn,ffrr/frrr,True
189,2021-11-10_033,tttbb/pp,rrfff/rr,True
190,2021-11-10_035,pnntt/bp,rfrfr/fr,True
191,2021-11-10_036,tnptn/ntb,rfffr/rrr,True
192,2021-11-10_038,tpnnt/nbb,rrrrf/frr,True
193,2021-11-10_040,ttttt/nnt,rfrrf/rrr,True
194,2021-11-10_041,ppppp/p,rfrfr/r,True
195,2021-11-10_042,nnnnn/nnn,frrfr/rrr,True
196,2021-11-10_043,nttb/pnt,ffff/rrr,True
197,2021-11-10_044,pnppt/nnp,rrrrr/fff,True
198,2021-11-10_045,pbppb/nnt,rrrrr/rfr,True
199,2021-11-10_046,ppnpb/tnn,rffrf/frf,True
200,2021-11-10_048,tnnpb/bnb,rrfff/frr,True
201,2021-11-10_049,ntntb/nnt,rffff/rrr,True
