,names,fruit,realfake,masks
54,2021-11-03_102,ee,rr,True
55,2021-11-03_103,eee,rrr,True
56,2021-11-03_104,ee,rr,True
57,2021-11-03_110,eee,fff,True
58,2021-11-04_001,ee,ff,True
59,2021-11-04_006,eee,rrf,True
60,2021-11-04_007,eee,frf,True
61,2021-11-04_008,eee,rff,True
62,2021-11-04_009,eee,frr,True
63,2021-11-04_010,ee,rf,True
64,2021-11-04_011,eee,ffr,True
65,2021-11-04_015,eee,rfr,True
66,2021-11-04_016,eeee,fffr,True
67,2021-11-04_017,eeee,frfr,True
68,2021-11-04_018,eeee,frff,True
69,2021-11-04_019,pp,rr,True
70,2021-11-04_020,pp,rr,True
71,2021-11-04_021,pp,rr,True
72,2021-11-04_022,ppp,rrr,True
73,2021-11-04_023,ppp,rrr,True
74,2021-11-04_024,pp,ff,True
75,2021-11-04_025,ppp,fff,True
76,2021-11-04_026,ppp,fff,True
77,2021-11-04_027,ppp,fff,True
78,2021-11-04_028,pp,ff,True
79,2021-11-04_029,pp,rf,True
80,2021-11-04_030,pppp,frrf,True
81,2021-11-04_031,pppp,frff,True
82,2021-11-04_032,pppp,frfr,True
83,2021-11-04_033,pppp,frrr,True
84,2021-11-04_034,pppp,ffrr,True
85,2021-11-04_035,oo,rr,True
86,2021-11-04_036,oooo,rrrr,True
87,2021-11-04_037,ooo,rrr,True
88,2021-11-04_038,oooo,rrrr,True
89,2021-11-04_039,oooo,rrrr,True
90,2021-11-04_040,oooo,ffff,True
91,2021-11-04_041,oooo,ffff,True
92,2021-11-04_042,oooo,ffff,True
93,2021-11-04_043,oooo,ffff,True
94,2021-11-04_044,oooo,ffff,True
95,2021-11-04_045,oooo,ffrf,True
96,2021-11-04_046,oooo,rffr,True
97,2021-11-04_047,oooo,rfrf,True
98,2021-11-04_048,oooo,frrr,True
99,2021-11-04_049,oooo,frff,True
100,2021-11-04_050,ooo,fff,True
101,2021-11-04_051,v,r,True
102,2021-11-04_052,vv,rr,True
103,2021-11-04_053,vv,rr,True
104,2021-11-04_054,vv,rr,True
105,2021-11-04_055,vv,rr,True
106,2021-11-04_056,v,f,True
107,2021-11-04_057,vv,ff,True
108,2021-11-04_058,vvv,fff,True
109,2021-11-04_059,vvv,fff,True
110,2021-11-04_060,vvv,fff,True
111,2021-11-04_061,vvv,frf,True
112,2021-11-04_062,vvvv,frfr,True
113,2021-11-04_063,vvvv,rfrf,True
114,2021-11-04_064,vvvv,rfrf,True
115,2021-11-04_065,vvvv,rffr,True
116,2021-11-04_066,vvvv,frrf,True
117,2021-11-04_067,aaa,rrr,True
118,2021-11-04_068,aaaa,rrrr,True
119,2021-11-04_069,aaaa,rrrr,True
120,2021-11-04_070,aaaa,rrrr,True
121,2021-11-04_071,aaaa,rrrr,True
122,2021-11-04_072,aaaa,rrrr,True
123,2021-11-04_073,aaaa,rrrr,True
124,2021-11-04_074,aaaa,rrrr,True
125,2021-11-04_075,aaaa,rrrr,True
126,2021-11-04_076,aaaa,rrrr,True
127,2021-11-04_077,aaaa,rrrr,True
128,2021-11-04_078,aaaa,rrrr,True
129,2021-11-04_079,aaaa,rrrr,True
130,2021-11-04_080,aaaa,rrrr,True
131,2021-11-04_081,aaaa,rrrr,True
132,2021-11-04_082,aaaa,ffff,True
133,2021-11-04_083,aaaa,ffff,True
134,2021-11-04_084,aaaa,ffff,True
135,2021-11-04_085,aaaa,ffff,True
136,2021-11-04_086,aaaa,ffff,True
137,2021-11-04_087,aaaa,ffff,True
138,2021-11-04_088,aaaa,ffff,True
139,2021-11-04_089,aaaa,ffff,True
140,2021-11-04_090,aaaa,ffff,True
141,2021-11-04_091,aaaa,ffff,True
142,2021-11-04_092,aaaa,frrf,True
143,2021-11-04_093,aaaa,rrff,True
144,2021-11-04_094,aaaa,rrff,True
145,2021-11-04_095,aaaa,frrf,True
146,2021-11-04_096,aaaa,frrf,True
147,2021-11-04_097,aaaa,ffrr,True
148,2021-11-04_098,aaaa,ffrr,True
149,2021-11-04_099,aaaa,ffrr,True
150,2021-11-04_100,aaaa,rrff,True
151,2021-11-04_102,aaaa,rrff,True
152,2021-11-04_103,plg/alo,rfr/frr,True
153,2021-11-04_105,oagp/log,rffr/rff,True
154,2021-11-04_106,olog/lgg,rrff/frf,True
155,2021-11-04_107,algg/eag,rffr/frf,True
156,2021-11-04_108,eeag/ael,rfrf/fff,True
157,2021-11-05_001,aoaa/lav,ffrf/rfr,True
158,2021-11-05_002,laov/gg,rffr/ff,True
159,2021-11-05_004,gap/gll,rrr/ffr,True
160,2021-11-05_005,ogll/alg,ffrf/rrr,True
161,2021-11-05_006,aolg/pgo,rfff/rff,True
162,2021-11-05_008,aagp/oala,frfr/rrff,True
163,2021-11-05_009,ogll/apaa,ffrf/rrff,True
164,2021-11-05_010,aapa/gaal,rfrf/rrff,True
165,2021-11-05_011,gaal/palo,rrff/rrfr,True
166,2021-11-05_012,oalp/aalg,rrfr/rfrf,True
167,2021-11-05_013,aalg/aool,rfrf/ffrr,True
168,2021-11-05_014,aool/gol,ffrr/rrf,True
169,2021-11-05_015,gop/gll,rrf/fff,True
170,2021-11-05_016,gg/vlav,rf/rrff,True
171,2021-11-05_017,ege,rrf,True
172,2021-11-05_018,epv,rrr,True
173,2021-11-05_019,fobv,fffr,True
174,2021-11-05_020,gpue,frff,True
175,2021-11-05_021,vppaa,frrfr,True
176,2021-11-05_022,lvooo,rffff,True
177,2021-11-05_024,avvuul,rffrrr,True
178,2021-11-05_025,peeg,rrff,True
179,2021-11-05_027,vleeg,frffr,True
180,2021-11-05_028,bfuoo,ffrrf,True
181,2021-11-05_029,uoaga,rrffr,True
182,2021-11-05_030,ggab,rfrf,True
183,2021-11-05_031,uueeg,fffrr,True
184,2021-11-05_032,eloaa,rrrrr,True
185,2021-11-05_033,elapp/oaal,rrrrr/rrrr,True
186,2021-11-05_034,elbpa,rrfrf,True
187,2021-11-05_035,euuoa,fffrf,True
188,2021-11-05_038,uggou,rrfrr,True
189,2021-11-05_041,blaea,ffrrr,True
190,2021-11-05_042,lueae,rfffr,True
191,2021-11-05_043,gevf,rfrf,True
192,2021-11-05_046,epfe,rrfr,True
193,2021-11-05_047,eole,rfrf,True
194,2021-11-05_048,eevpf,ffrrf,True
195,2021-11-05_049,aupug,rfrff,True
196,2021-11-05_050,buage,ffffr,True
197,2021-11-05_051,plleuu,ffrfrr,True
198,2021-11-05_052,lpeeg,rrffr,True
199,2021-11-05_053,opbga,rrfrr,True
200,2021-11-05_055,guupa,fffrf,True
201,2021-11-05_056,ppva/buuu,rfff/ffrf,True
202,2021-11-05_057,pgue/buuo,rrfr/ffrr,True
203,2021-11-05_058,ageol/uuuuu,rffff/frrff,True
204,2021-11-05_059,vlpul/lula,fffff/rfrr,True
205,2021-11-05_060,eeaul/fuugl,fffff/fffrr,True
206,2021-11-10_001,tttt/nnnn,frfr/frrf,True
207,2021-11-10_002,pppp/nntt,rffr/frrf,True
208,2021-11-10_003,ttpp/bbb,rffr/rfr,True
209,2021-11-10_004,ttnn/bpp,rfrf/frf,True
210,2021-11-10_005,tpnb/bpp,rfrf/frr,True
211,2021-11-10_006,tptp/nb,rfff/rr,True
212,2021-11-10_007,bbp/nn,frr/fr,True
213,2021-11-10_008,ttnp/tnn,rrrr/ffr,True
214,2021-11-10_009,pppp/ppb,rfrr/rfr,True
215,2021-11-10_011,bpnp/ptb,ffrr/rrr,True
216,2021-11-10_012,ppb/ttb,ffr/frr,True
217,2021-11-10_013,ppnn/tbb,rfrf/rfr,True
218,2021-11-10_014,tpnn/ttpp,rfrf/rfrr,True
219,2021-11-10_015,tpb/ntpt,rff/ffrf,True
220,2021-11-10_016,tpnn/bpt,rrrr/rrf,True
221,2021-11-10_017,ppnn/ttnt,frfr/rrff,True
222,2021-11-10_018,bb/bnt,rf/frf,True
223,2021-11-10_019,pppp/pptt,rrff/rrrr,True
224,2021-11-10_020,pptt/nnn,rffr/rff,True
225,2021-11-10_021,nnnn/bb,rfrr/rf,True
226,2021-11-10_022,tttnn/ntt,rrffr/rfr,True
227,2021-11-10_023,ttppp/btt,rfrfr/rfr,True
228,2021-11-10_024,bb/bb,ff/rr,True
229,2021-11-10_025,btttt/bbb,ffrrf/rrf,True
230,2021-11-10_026,pttnn/bb,rrfrf/rf,True
231,2021-11-10_027,ptpp/bnn,rrrr/rrr,True
232,2021-11-10_028,bnnp/tbb,ffff/fff,True
233,2021-11-10_029,ptnnp/tb,rfrfr/rr,True
234,2021-11-10_030,nbnb/ttn,rfrf/rff,True
235,2021-11-10_031,ntnb/ppp,rrfr/rrf,True
236,2021-11-10_032,bbbb/tptn,ffrr/frrr,True
237,2021-11-10_033,tttbb/pp,rrfff/rr,True
238,2021-11-10_035,pnntt/bp,rfrfr/fr,True
239,2021-11-10_036,tnptn/ntb,rfffr/rrr,True
240,2021-11-10_037,ppppt/npb,frfrf/frr,True
241,2021-11-10_038,tpnnt/nbb,rrrrf/frr,True
242,2021-11-10_040,ttttt/nnt,rfrrf/rrr,True
243,2021-11-10_041,ppppp/p,rfrfr/r,True
244,2021-11-10_042,nnnnn/nnn,frrfr/rrr,True
245,2021-11-10_043,nttb/pnt,ffff/rrr,True
246,2021-11-10_044,pnppt/nnp,rrrrr/fff,True
247,2021-11-10_045,pbppb/nnt,rrrrr/rfr,True
248,2021-11-10_046,ppnpb/tnn,rffrf/frf,True
249,2021-11-10_048,tnnpb/bnb,rrfff/frr,True
250,2021-11-10_049,ntntb/nnt,rffff/rrr,True
251,2021-11-10_050,npnpp/tnb,rrfrf/rrf,True
